time_s,tx_power_dbm,beacon_interval_s
581.5,13.0,0.1
582.0,23.0,0.1
582.5,19.0,0.1
583.0,16.0,0.1
583.5,16.0,0.1
584.0,10.0,0.3
584.5,16.0,0.1
585.0,16.0,0.5
585.5,10.0,0.1
586.0,23.0,0.3
586.5,23.0,0.2
587.0,16.0,0.1
587.5,10.0,0.1
588.0,10.0,0.1
588.5,19.0,0.1
589.0,16.0,0.5
589.5,13.0,0.5
590.0,19.0,0.2
590.5,19.0,0.2
591.0,10.0,0.3
591.5,13.0,0.3
592.0,16.0,0.2
592.5,23.0,0.1
593.0,19.0,0.1
593.5,19.0,0.5
594.0,16.0,0.2
594.5,23.0,0.3
595.0,13.0,0.5
595.5,19.0,0.5
596.0,23.0,0.5
596.5,23.0,0.5
597.0,23.0,0.1
597.5,13.0,0.3
598.0,13.0,0.1
598.5,19.0,0.1
599.0,10.0,0.5
599.5,19.0,0.1
600.0,13.0,0.2
